Date,Average_Price,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,is_festival,imported_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation
2022-02-19,76.67,36750.0,11.9,0.0,7.9,1014.3,0.0,119.76,128.0,0,76.67,False,False,False,True,6.23
2022-02-20,75.0,48955.0,9.8,0.0,10.8,1010.0,0.0,119.76,128.0,0,75.0,False,False,False,True,6.23
2022-02-21,75.0,65500.0,9.7,1.8,7.6,1011.5,0.0,119.76,128.0,0,75.0,False,False,False,True,6.23
2022-02-22,65.0,67375.0,10.8,0.0,9.7,1017.7,0.0,119.52,128.0,0,65.0,False,False,False,True,6.23
2022-02-23,65.0,54000.0,12.8,0.0,6.1,1021.1,0.0,120.11,128.0,0,65.0,False,False,False,True,6.23
2022-02-24,65.0,89200.0,13.5,0.0,6.6,1020.3,0.0,119.6,128.0,0,65.0,False,False,False,True,6.23
2022-02-25,65.0,44750.0,12.8,0.0,8.8,1021.1,0.0,121.35,128.0,0,65.0,False,False,False,True,6.23
2022-02-26,60.0,64875.0,13.15,0.0,8.55,1020.8,0.0,120.77,128.0,0,68.66772954924875,False,False,False,True,6.23
2022-02-27,55.0,85000.0,13.5,0.0,8.3,1020.5,0.0,120.77,128.0,0,55.0,False,False,False,True,6.23
2022-02-28,66.67,41050.0,13.7,0.0,7.3,1019.0,0.0,120.77,128.0,0,66.67,False,False,False,True,6.23
2022-03-01,66.67,86640.0,14.3,0.0,7.1,1020.3,0.0,120.85,128.0,0,66.67,False,False,True,False,7.14
2022-03-02,56.67,62800.0,14.4,0.0,9.6,1020.2,0.0,120.85,128.0,0,56.67,False,False,True,False,7.14
2022-03-03,56.67,23750.0,14.8,0.0,10.7,1019.5,0.0,121.43,133.0,0,56.67,False,False,True,False,7.14
2022-03-04,60.84,35600.0,15.1,0.0,9.8,1018.15,0.0,121.76,133.0,0,68.66772954924875,False,False,True,False,7.14
2022-03-05,65.0,47450.0,15.4,0.0,8.9,1016.8,0.0,122.16,133.0,1,65.0,False,False,True,False,7.14
2022-03-06,65.0,65425.0,16.4,0.0,7.0,1019.3,0.0,122.16,133.0,1,65.0,False,False,True,False,7.14
2022-03-07,65.0,84650.0,17.8,0.0,7.3,1020.5,0.0,122.16,133.0,1,65.0,False,False,True,False,7.14
2022-03-08,55.0,42975.0,18.2,0.0,8.0,1018.3,0.0,123.44,133.0,1,55.0,False,False,True,False,7.14
2022-03-09,56.67,81950.0,18.2,0.0,8.8,1017.8,0.0,123.36,133.0,1,56.67,False,False,True,False,7.14
