Model,RMSE_mean,MSE_mean,MAE_mean,MAPE_mean,R2_mean,RMSE_std
Linear,10.829836815192548,185.25984494788474,8.9271643176872,16.283430036143837,-0.7448110003547965,
RandomForest,7.136956416033089,60.69094302122615,4.798671449121416,8.518156239219742,0.7635105678517145,0.0
XGBoost,7.683248643840455,74.77217682489301,5.249909731900251,8.815953029545712,0.7922622172266127,0.0
LightGBM,8.345964378320351,87.6942687485632,5.533569308895151,9.503608097644658,0.7230186378485127,0.0
